"","confirmed","deaths","recovered","latitude","longitude","date"
"29880",0,0,0,5.1521,46.1996,2020-02-16
"29881",0,0,0,5.1521,46.1996,2020-02-17
"29882",0,0,0,5.1521,46.1996,2020-02-18
"29883",0,0,0,5.1521,46.1996,2020-02-19
"29884",0,0,0,5.1521,46.1996,2020-02-20
"29885",0,0,0,5.1521,46.1996,2020-02-21
"29886",0,0,0,5.1521,46.1996,2020-02-22
"29887",0,0,0,5.1521,46.1996,2020-02-23
"29888",0,0,0,5.1521,46.1996,2020-02-24
"29889",0,0,0,5.1521,46.1996,2020-02-25
"29890",0,0,0,5.1521,46.1996,2020-02-26
"29891",0,0,0,5.1521,46.1996,2020-02-27
"29892",0,0,0,5.1521,46.1996,2020-02-28
"29893",0,0,0,5.1521,46.1996,2020-02-29
"29894",0,0,0,5.1521,46.1996,2020-03-01
"29895",0,0,0,5.1521,46.1996,2020-03-02
"29896",0,0,0,5.1521,46.1996,2020-03-03
"29897",0,0,0,5.1521,46.1996,2020-03-04
"29898",0,0,0,5.1521,46.1996,2020-03-05
"29899",0,0,0,5.1521,46.1996,2020-03-06
"29900",0,0,0,5.1521,46.1996,2020-03-07
"29901",0,0,0,5.1521,46.1996,2020-03-08
"29902",0,0,0,5.1521,46.1996,2020-03-09
"29903",0,0,0,5.1521,46.1996,2020-03-10
"29904",0,0,0,5.1521,46.1996,2020-03-11
"29905",0,0,0,5.1521,46.1996,2020-03-12
"29906",0,0,0,5.1521,46.1996,2020-03-13
"29907",0,0,0,5.1521,46.1996,2020-03-14
"29908",0,0,0,5.1521,46.1996,2020-03-15
"29909",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-16
"29910",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-17
"29911",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-18
"29912",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-19
"29913",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-20
"29914",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-21
"29915",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-22
"29916",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-23
"29917",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-24
"29918",6.66304463560275e-08,0,0,5.1521,46.1996,2020-03-25
"29919",1.33260892712055e-07,0,0,5.1521,46.1996,2020-03-26
"29920",1.99891339068083e-07,0,0,5.1521,46.1996,2020-03-27
"29921",1.99891339068083e-07,0,0,5.1521,46.1996,2020-03-28
"29922",1.99891339068083e-07,0,0,5.1521,46.1996,2020-03-29
"29923",1.99891339068083e-07,0,0,5.1521,46.1996,2020-03-30
"29924",3.33152231780138e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-03-31
"29925",3.33152231780138e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-01
"29926",3.33152231780138e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-02
"29927",4.66413124492193e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-03
"29928",4.66413124492193e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-04
"29929",4.66413124492193e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-05
"29930",4.66413124492193e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-06
"29931",5.3304357084822e-07,0,6.66304463560275e-08,5.1521,46.1996,2020-04-07
"29932",7.9956535627233e-07,6.66304463560275e-08,6.66304463560275e-08,5.1521,46.1996,2020-04-08
"29933",7.9956535627233e-07,6.66304463560275e-08,6.66304463560275e-08,5.1521,46.1996,2020-04-09
"29934",1.39923937347658e-06,6.66304463560275e-08,6.66304463560275e-08,5.1521,46.1996,2020-04-10
"29935",1.39923937347658e-06,6.66304463560275e-08,6.66304463560275e-08,5.1521,46.1996,2020-04-11
"29936",1.66576115890069e-06,6.66304463560275e-08,1.33260892712055e-07,5.1521,46.1996,2020-04-12
"29937",3.99782678136165e-06,1.33260892712055e-07,1.33260892712055e-07,5.1521,46.1996,2020-04-13
"29938",3.99782678136165e-06,1.33260892712055e-07,1.33260892712055e-07,5.1521,46.1996,2020-04-14
"29939",5.3304357084822e-06,3.33152231780138e-07,1.33260892712055e-07,5.1521,46.1996,2020-04-15
"29940",5.3304357084822e-06,3.33152231780138e-07,1.33260892712055e-07,5.1521,46.1996,2020-04-16
"29941",7.72913177729919e-06,3.99782678136165e-07,1.33260892712055e-07,5.1521,46.1996,2020-04-17
"29942",8.99511025806372e-06,4.66413124492193e-07,1.33260892712055e-07,5.1521,46.1996,2020-04-18
"29943",1.09273932023885e-05,4.66413124492193e-07,1.99891339068083e-07,5.1521,46.1996,2020-04-19
"29944",1.57914157863785e-05,5.3304357084822e-07,2.6652178542411e-07,5.1521,46.1996,2020-04-20
"29945",1.90563076578239e-05,5.3304357084822e-07,2.6652178542411e-07,5.1521,46.1996,2020-04-21
"29946",1.90563076578239e-05,5.3304357084822e-07,2.6652178542411e-07,5.1521,46.1996,2020-04-22
"29947",2.1854786404777e-05,1.06608714169644e-06,5.3304357084822e-07,5.1521,46.1996,2020-04-23
"29948",2.1854786404777e-05,1.06608714169644e-06,5.3304357084822e-07,5.1521,46.1996,2020-04-24
"29949",2.59858740788507e-05,1.1993480344085e-06,5.3304357084822e-07,5.1521,46.1996,2020-04-25
"29950",2.9050874611228e-05,1.53250026618863e-06,6.66304463560275e-07,5.1521,46.1996,2020-04-26
"29951",3.19826142508932e-05,1.73239160525672e-06,6.66304463560275e-07,5.1521,46.1996,2020-04-27
"29952",3.51808756759825e-05,1.86565249796877e-06,1.26597848076452e-06,5.1521,46.1996,2020-04-28
"29953",3.8778919779208e-05,1.86565249796877e-06,1.33260892712055e-06,5.1521,46.1996,2020-04-29
"29954",4.00448982599725e-05,1.86565249796877e-06,2.06554383703685e-06,5.1521,46.1996,2020-04-30
"29955",4.00448982599725e-05,1.86565249796877e-06,2.06554383703685e-06,5.1521,46.1996,2020-05-01
"29956",4.47090295048945e-05,2.06554383703685e-06,2.26543517610494e-06,5.1521,46.1996,2020-05-02
"29957",4.81071822690519e-05,2.13217428339288e-06,2.93173963966521e-06,5.1521,46.1996,2020-05-03
"29958",5.03726174451568e-05,2.33206562246096e-06,4.06445722771768e-06,5.1521,46.1996,2020-05-04
"29959",5.5636422707283e-05,2.53195696152905e-06,4.99728347670207e-06,5.1521,46.1996,2020-05-05
"29960",5.8168379668812e-05,2.59858740788507e-06,5.79684883297439e-06,5.1521,46.1996,2020-05-06
"29961",6.18330542183935e-05,2.93173963966521e-06,7.06282731373892e-06,5.1521,46.1996,2020-05-07
